City/Town,County,State,Region,CountyID,StateID,RegionID
McKenzie (pt.),,Alabama,South,013,01,3
,Butler County,Alabama,South,013,01,3
Anniston,,Alabama,South,015,01,3
Glencoe (pt.),,Alabama,South,015,01,3
Hobson City,,Alabama,South,015,01,3
Jacksonville,,Alabama,South,015,01,3
Ohatchee,,Alabama,South,015,01,3
Oxford (pt.),,Alabama,South,015,01,3
Piedmont (pt.),,Alabama,South,015,01,3
Southside (pt.),,Alabama,South,015,01,3
Weaver,,Alabama,South,015,01,3
,Calhoun County,Alabama,South,015,01,3
Cusseta,,Alabama,South,017,01,3
Five Points,,Alabama,South,017,01,3
La Fayette,,Alabama,South,017,01,3
Lanett,,Alabama,South,017,01,3
Valley,,Alabama,South,017,01,3
Waverly (pt.),,Alabama,South,017,01,3
,Chambers County,Alabama,South,017,01,3
Cedar Bluff,,Alabama,South,019,01,3
Centre,,Alabama,South,019,01,3
Collinsville (pt.),,Alabama,South,019,01,3
Gaylesville,,Alabama,South,019,01,3
Leesburg,,Alabama,South,019,01,3
Piedmont (pt.),,Alabama,South,019,01,3
Sand Rock (pt.),,Alabama,South,019,01,3
,Cherokee County,Alabama,South,019,01,3
Calera (pt.),,Alabama,South,021,01,3
Clanton,,Alabama,South,021,01,3
Jemison,,Alabama,South,021,01,3
Maplesville,,Alabama,South,021,01,3
Thorsby,,Alabama,South,021,01,3
,Chilton County,Alabama,South,021,01,3
Butler,,Alabama,South,023,01,3
Gilbertown,,Alabama,South,023,01,3
Lisman,,Alabama,South,023,01,3
Needham,,Alabama,South,023,01,3
Pennington,,Alabama,South,023,01,3
Silas,,Alabama,South,023,01,3
Toxey,,Alabama,South,023,01,3
,Choctaw County,Alabama,South,023,01,3
Coffeeville,,Alabama,South,025,01,3
Fulton,,Alabama,South,025,01,3
Grove Hill,,Alabama,South,025,01,3
Jackson,,Alabama,South,025,01,3
Thomasville,,Alabama,South,025,01,3
,Clarke County,Alabama,South,025,01,3
Ashland,,Alabama,South,027,01,3
Lineville,,Alabama,South,027,01,3
,Clay County,Alabama,South,027,01,3
Edwardsville,,Alabama,South,029,01,3
Fruithurst,,Alabama,South,029,01,3
Heflin,,Alabama,South,029,01,3
Ranburne,,Alabama,South,029,01,3
,Cleburne County,Alabama,South,029,01,3
Elba,,Alabama,South,031,01,3
Enterprise (pt.),,Alabama,South,031,01,3
Kinston,,Alabama,South,031,01,3
New Brockton,,Alabama,South,031,01,3
,Coffee County,Alabama,South,031,01,3
Cherokee,,Alabama,South,033,01,3
Leighton,,Alabama,South,033,01,3
Littleville,,Alabama,South,033,01,3
Muscle Shoals,,Alabama,South,033,01,3
Sheffield,,Alabama,South,033,01,3
Tuscumbia,,Alabama,South,033,01,3
,Colbert County,Alabama,South,033,01,3
Castleberry,,Alabama,South,035,01,3
Evergreen,,Alabama,South,035,01,3
McKenzie (pt.),,Alabama,South,035,01,3
Repton,,Alabama,South,035,01,3
,Conecuh County,Alabama,South,035,01,3
Goodwater,,Alabama,South,037,01,3
Kellyton,,Alabama,South,037,01,3
Rockford,,Alabama,South,037,01,3
,Coosa County,Alabama,South,037,01,3
Andalusia,,Alabama,South,039,01,3
Babbie,,Alabama,South,039,01,3
Carolina,,Alabama,South,039,01,3
Florala,,Alabama,South,039,01,3
Gantt,,Alabama,South,039,01,3
Heath,,Alabama,South,039,01,3
Horn Hill,,Alabama,South,039,01,3
Libertyville,,Alabama,South,039,01,3
Lockhart,,Alabama,South,039,01,3
Onycha,,Alabama,South,039,01,3
Opp,,Alabama,South,039,01,3
Red Level,,Alabama,South,039,01,3
River Falls,,Alabama,South,039,01,3
Sanford,,Alabama,South,039,01,3
,Covington County,Alabama,South,039,01,3
Brantley,,Alabama,South,041,01,3
Dozier,,Alabama,South,041,01,3
Glenwood,,Alabama,South,041,01,3
Luverne,,Alabama,South,041,01,3
Petrey,,Alabama,South,041,01,3
Rutledge,,Alabama,South,041,01,3
,Crenshaw County,Alabama,South,041,01,3
Arab (pt.),,Alabama,South,043,01,3
Baileyton,,Alabama,South,043,01,3
Berlin,,Alabama,South,043,01,3
Colony,,Alabama,South,043,01,3
Cullman,,Alabama,South,043,01,3
Dodge City,,Alabama,South,043,01,3
Fairview,,Alabama,South,043,01,3
Garden City (pt.),,Alabama,South,043,01,3
Good Hope,,Alabama,South,043,01,3
Hanceville,,Alabama,South,043,01,3
Holly Pond,,Alabama,South,043,01,3
South Vinemont,,Alabama,South,043,01,3
West Point,,Alabama,South,043,01,3
,Cullman County,Alabama,South,043,01,3
Ariton,,Alabama,South,045,01,3
Clayhatchee,,Alabama,South,045,01,3
Daleville,,Alabama,South,045,01,3
Dothan (pt.),,Alabama,South,045,01,3
Enterprise (pt.),,Alabama,South,045,01,3
Grimes,,Alabama,South,045,01,3
Level Plains,,Alabama,South,045,01,3
Midland City,,Alabama,South,045,01,3
Napier Field,,Alabama,South,045,01,3
Newton,,Alabama,South,045,01,3
Ozark,,Alabama,South,045,01,3
Pinckard,,Alabama,South,045,01,3
,Dale County,Alabama,South,045,01,3
Orrville,,Alabama,South,047,01,3
Selma,,Alabama,South,047,01,3
Valley Grande,,Alabama,South,047,01,3
,Dallas County,Alabama,South,047,01,3
Collinsville (pt.),,Alabama,South,049,01,3
Crossville,,Alabama,South,049,01,3
Fort Payne,,Alabama,South,049,01,3
Fyffe,,Alabama,South,049,01,3
Geraldine,,Alabama,South,049,01,3
Hammondville,,Alabama,South,049,01,3
Henagar,,Alabama,South,049,01,3
Ider,,Alabama,South,049,01,3
Lakeview,,Alabama,South,049,01,3
Mentone,,Alabama,South,049,01,3
Pine Ridge,,Alabama,South,049,01,3
Powell,,Alabama,South,049,01,3
Rainsville,,Alabama,South,049,01,3
Sand Rock (pt.),,Alabama,South,049,01,3
Shiloh,,Alabama,South,049,01,3
Sylvania,,Alabama,South,049,01,3
Valley Head,,Alabama,South,049,01,3
,DeKalb County,Alabama,South,049,01,3
Coosada,,Alabama,South,051,01,3
Deatsville,,Alabama,South,051,01,3
Eclectic,,Alabama,South,051,01,3
Elmore,,Alabama,South,051,01,3
Millbrook (pt.),,Alabama,South,051,01,3
Prattville (pt.),,Alabama,South,051,01,3
Tallassee (pt.),,Alabama,South,051,01,3
Wetumpka,,Alabama,South,051,01,3
,Elmore County,Alabama,South,051,01,3
Atmore,,Alabama,South,053,01,3
Brewton,,Alabama,South,053,01,3
East Brewton,,Alabama,South,053,01,3
Flomaton,,Alabama,South,053,01,3
Pollard,,Alabama,South,053,01,3
Riverview,,Alabama,South,053,01,3
,Escambia County,Alabama,South,053,01,3
Altoona (pt.),,Alabama,South,055,01,3
Attalla,,Alabama,South,055,01,3
Boaz (pt.),,Alabama,South,055,01,3
Gadsden,,Alabama,South,055,01,3
Glencoe (pt.),,Alabama,South,055,01,3
Hokes Bluff,,Alabama,South,055,01,3
Rainbow City,,Alabama,South,055,01,3
Reece City,,Alabama,South,055,01,3
Ridgeville,,Alabama,South,055,01,3
Sardis City (pt.),,Alabama,South,055,01,3
Southside (pt.),,Alabama,South,055,01,3
Walnut Grove,,Alabama,South,055,01,3
,Etowah County,Alabama,South,055,01,3
Belk,,Alabama,South,057,01,3
Berry,,Alabama,South,057,01,3
Fayette,,Alabama,South,057,01,3
Glen Allen (pt.),,Alabama,South,057,01,3
Gu-Win (pt.),,Alabama,South,057,01,3
Winfield (pt.),,Alabama,South,057,01,3
,Fayette County,Alabama,South,057,01,3
Hodges,,Alabama,South,059,01,3
Phil Campbell,,Alabama,South,059,01,3
Red Bay,,Alabama,South,059,01,3
Russellville,,Alabama,South,059,01,3
Vina,,Alabama,South,059,01,3
,Franklin County,Alabama,South,059,01,3
Black,,Alabama,South,061,01,3
Coffee Springs,,Alabama,South,061,01,3
Geneva,,Alabama,South,061,01,3
Hartford,,Alabama,South,061,01,3
Malvern,,Alabama,South,061,01,3
Samson,,Alabama,South,061,01,3
Slocomb,,Alabama,South,061,01,3
Taylor (pt.),,Alabama,South,061,01,3
,Geneva County,Alabama,South,061,01,3
Boligee,,Alabama,South,063,01,3
Eutaw,,Alabama,South,063,01,3
Forkland,,Alabama,South,063,01,3
Union,,Alabama,South,063,01,3
,Greene County,Alabama,South,063,01,3
Akron,,Alabama,South,065,01,3
Greensboro,,Alabama,South,065,01,3
Moundville (pt.),,Alabama,South,065,01,3
Newbern,,Alabama,South,065,01,3
,Hale County,Alabama,South,065,01,3
Abbeville,,Alabama,South,067,01,3
Dothan (pt.),,Alabama,South,067,01,3
Haleburg,,Alabama,South,067,01,3
Headland,,Alabama,South,067,01,3
Newville,,Alabama,South,067,01,3
,Henry County,Alabama,South,067,01,3
Ashford,,Alabama,South,069,01,3
Avon,,Alabama,South,069,01,3
Columbia,,Alabama,South,069,01,3
Cottonwood,,Alabama,South,069,01,3
Cowarts,,Alabama,South,069,01,3
Dothan (pt.),,Alabama,South,069,01,3
Gordon,,Alabama,South,069,01,3
Kinsey,,Alabama,South,069,01,3
Madrid,,Alabama,South,069,01,3
Rehobeth,,Alabama,South,069,01,3
Taylor (pt.),,Alabama,South,069,01,3
Webb,,Alabama,South,069,01,3
,Houston County,Alabama,South,069,01,3
Bridgeport,,Alabama,South,071,01,3
Dutton,,Alabama,South,071,01,3
Hollywood,,Alabama,South,071,01,3
Hytop,,Alabama,South,071,01,3
Langston,,Alabama,South,071,01,3
Paint Rock,,Alabama,South,071,01,3
Pisgah,,Alabama,South,071,01,3
Pleasant Groves,,Alabama,South,071,01,3
Scottsboro,,Alabama,South,071,01,3
Section,,Alabama,South,071,01,3
Skyline,,Alabama,South,071,01,3
Stevenson,,Alabama,South,071,01,3
Woodville,,Alabama,South,071,01,3
,Jackson County,Alabama,South,071,01,3
Adamsville,,Alabama,South,073,01,3
Argo (pt.),,Alabama,South,073,01,3
Bessemer,,Alabama,South,073,01,3
Birmingham (pt.),,Alabama,South,073,01,3
Brighton,,Alabama,South,073,01,3
Brookside,,Alabama,South,073,01,3
Cardiff,,Alabama,South,073,01,3
Center Point,,Alabama,South,073,01,3
Clay (pt.),,Alabama,South,073,01,3
County Line (pt.),,Alabama,South,073,01,3
Fairfield,,Alabama,South,073,01,3
Fultondale,,Alabama,South,073,01,3
Gardendale,,Alabama,South,073,01,3
Graysville,,Alabama,South,073,01,3
Helena (pt.),,Alabama,South,073,01,3
Homewood,,Alabama,South,073,01,3
Hoover (pt.),,Alabama,South,073,01,3
Hueytown,,Alabama,South,073,01,3
Irondale,,Alabama,South,073,01,3
Kimberly,,Alabama,South,073,01,3
Lake View (pt.),,Alabama,South,073,01,3
Leeds (pt.),,Alabama,South,073,01,3
Lipscomb,,Alabama,South,073,01,3
Maytown,,Alabama,South,073,01,3
Midfield,,Alabama,South,073,01,3
Morris,,Alabama,South,073,01,3
Mountain Brook,,Alabama,South,073,01,3
Mulga,,Alabama,South,073,01,3
North Johns,,Alabama,South,073,01,3
Pinson,,Alabama,South,073,01,3
Pleasant Grove,,Alabama,South,073,01,3
Sumiton (pt.),,Alabama,South,073,01,3
Sylvan Springs,,Alabama,South,073,01,3
Tarrant,,Alabama,South,073,01,3
Trafford (pt.),,Alabama,South,073,01,3
Trussville (pt.),,Alabama,South,073,01,3
Vestavia Hills (pt.),,Alabama,South,073,01,3
Warrior,,Alabama,South,073,01,3
West Jefferson,,Alabama,South,073,01,3
,Jefferson County,Alabama,South,073,01,3
Beaverton,,Alabama,South,075,01,3
Detroit,,Alabama,South,075,01,3
Kennedy,,Alabama,South,075,01,3
Millport,,Alabama,South,075,01,3
Sulligent,,Alabama,South,075,01,3
Vernon,,Alabama,South,075,01,3
,Lamar County,Alabama,South,075,01,3
Anderson,,Alabama,South,077,01,3
Florence,,Alabama,South,077,01,3
Killen,,Alabama,South,077,01,3
Lexington,,Alabama,South,077,01,3
Rogersville,,Alabama,South,077,01,3
St. Florian,,Alabama,South,077,01,3
Waterloo,,Alabama,South,077,01,3
,Lauderdale County,Alabama,South,077,01,3
Courtland,,Alabama,South,079,01,3
Hillsboro,,Alabama,South,079,01,3
Moulton,,Alabama,South,079,01,3
North Courtland,,Alabama,South,079,01,3
Town Creek,,Alabama,South,079,01,3
Trinity (pt.),,Alabama,South,079,01,3
,Lawrence County,Alabama,South,079,01,3
Auburn,,Alabama,South,081,01,3
Loachapoka,,Alabama,South,081,01,3
Notasulga (pt.),,Alabama,South,081,01,3
Opelika,,Alabama,South,081,01,3
Phenix City (pt.),,Alabama,South,081,01,3
Smiths Station,,Alabama,South,081,01,3
Waverly (pt.),,Alabama,South,081,01,3
,Lee County,Alabama,South,081,01,3
Ardmore,,Alabama,South,083,01,3
Athens,,Alabama,South,083,01,3
Decatur (pt.),,Alabama,South,083,01,3
Elkmont,,Alabama,South,083,01,3
Huntsville (pt.),,Alabama,South,083,01,3
Lester,,Alabama,South,083,01,3
Madison (pt.),,Alabama,South,083,01,3
Mooresville,,Alabama,South,083,01,3
,Limestone County,Alabama,South,083,01,3
Benton,,Alabama,South,085,01,3
Fort Deposit,,Alabama,South,085,01,3
Gordonville,,Alabama,South,085,01,3
Hayneville,,Alabama,South,085,01,3
Lowndesboro,,Alabama,South,085,01,3
Mosses,,Alabama,South,085,01,3
White Hall,,Alabama,South,085,01,3
,Lowndes County,Alabama,South,085,01,3
Franklin,,Alabama,South,087,01,3
Notasulga (pt.),,Alabama,South,087,01,3
Shorter,,Alabama,South,087,01,3
Tuskegee,,Alabama,South,087,01,3
,Macon County,Alabama,South,087,01,3
Gurley,,Alabama,South,089,01,3
Huntsville (pt.),,Alabama,South,089,01,3
Madison (pt.),,Alabama,South,089,01,3
New Hope,,Alabama,South,089,01,3
Owens Cross Roads,,Alabama,South,089,01,3
Triana,,Alabama,South,089,01,3
,Madison County,Alabama,South,089,01,3
Dayton,,Alabama,South,091,01,3
Demopolis,,Alabama,South,091,01,3
Faunsdale,,Alabama,South,091,01,3
Linden,,Alabama,South,091,01,3
Myrtlewood,,Alabama,South,091,01,3
Providence,,Alabama,South,091,01,3
Sweet Water,,Alabama,South,091,01,3
Thomaston,,Alabama,South,091,01,3
,Marengo County,Alabama,South,091,01,3
Bear Creek,,Alabama,South,093,01,3
Brilliant,,Alabama,South,093,01,3
Glen Allen (pt.),,Alabama,South,093,01,3
Gu-Win (pt.),,Alabama,South,093,01,3
Guin,,Alabama,South,093,01,3
Hackleburg,,Alabama,South,093,01,3
Haleyville (pt.),,Alabama,South,093,01,3
Hamilton,,Alabama,South,093,01,3
Twin,,Alabama,South,093,01,3
Winfield (pt.),,Alabama,South,093,01,3
,Marion County,Alabama,South,093,01,3
Albertville,,Alabama,South,095,01,3
Arab (pt.),,Alabama,South,095,01,3
Boaz (pt.),,Alabama,South,095,01,3
Douglas,,Alabama,South,095,01,3
Grant,,Alabama,South,095,01,3
Guntersville,,Alabama,South,095,01,3
Sardis City (pt.),,Alabama,South,095,01,3
Union Grove,,Alabama,South,095,01,3
,Marshall County,Alabama,South,095,01,3
Bayou La Batre,,Alabama,South,097,01,3
Chickasaw,,Alabama,South,097,01,3
Citronelle,,Alabama,South,097,01,3
Creola,,Alabama,South,097,01,3
Dauphin Island,,Alabama,South,097,01,3
Mobile,,Alabama,South,097,01,3
Mount Vernon,,Alabama,South,097,01,3
Prichard,,Alabama,South,097,01,3
Saraland,,Alabama,South,097,01,3
Satsuma,,Alabama,South,097,01,3
Semmes,,Alabama,South,097,01,3
,Mobile County,Alabama,South,097,01,3
Beatrice,,Alabama,South,099,01,3
Excel,,Alabama,South,099,01,3
Frisco City,,Alabama,South,099,01,3
Monroeville,,Alabama,South,099,01,3
Vredenburgh,,Alabama,South,099,01,3
,Monroe County,Alabama,South,099,01,3
Montgomery,,Alabama,South,101,01,3
Pike Road,,Alabama,South,101,01,3
,Montgomery County,Alabama,South,101,01,3
Decatur (pt.),,Alabama,South,103,01,3
Eva,,Alabama,South,103,01,3
Falkville,,Alabama,South,103,01,3
Hartselle,,Alabama,South,103,01,3
Huntsville (pt.),,Alabama,South,103,01,3
Priceville,,Alabama,South,103,01,3
Somerville,,Alabama,South,103,01,3
Trinity (pt.),,Alabama,South,103,01,3
,Morgan County,Alabama,South,103,01,3
Marion,,Alabama,South,105,01,3
Uniontown,,Alabama,South,105,01,3
,Perry County,Alabama,South,105,01,3
Aliceville,,Alabama,South,107,01,3
Carrollton,,Alabama,South,107,01,3
Ethelsville,,Alabama,South,107,01,3
Gordo,,Alabama,South,107,01,3
McMullen,,Alabama,South,107,01,3
Memphis,,Alabama,South,107,01,3
Pickensville,,Alabama,South,107,01,3
Reform,,Alabama,South,107,01,3
,Pickens County,Alabama,South,107,01,3
Banks,,Alabama,South,109,01,3
Brundidge,,Alabama,South,109,01,3
Goshen,,Alabama,South,109,01,3
Troy,,Alabama,South,109,01,3
,Pike County,Alabama,South,109,01,3
Roanoke,,Alabama,South,111,01,3
Wadley,,Alabama,South,111,01,3
Wedowee,,Alabama,South,111,01,3
Woodland,,Alabama,South,111,01,3
,Randolph County,Alabama,South,111,01,3
Hurtsboro,,Alabama,South,113,01,3
Phenix City (pt.),,Alabama,South,113,01,3
,Russell County,Alabama,South,113,01,3
Argo (pt.),,Alabama,South,115,01,3
Ashville,,Alabama,South,115,01,3
Clay (pt.),,Alabama,South,115,01,3
Leeds (pt.),,Alabama,South,115,01,3
Margaret,,Alabama,South,115,01,3
Moody,,Alabama,South,115,01,3
Odenville,,Alabama,South,115,01,3
Pell City,,Alabama,South,115,01,3
Ragland,,Alabama,South,115,01,3
Riverside,,Alabama,South,115,01,3
Springville,,Alabama,South,115,01,3
Steele,,Alabama,South,115,01,3
Trussville (pt.),,Alabama,South,115,01,3
Vincent (pt.),,Alabama,South,115,01,3
,St. Clair County,Alabama,South,115,01,3
Alabaster,,Alabama,South,117,01,3
Birmingham (pt.),,Alabama,South,117,01,3
Calera (pt.),,Alabama,South,117,01,3
Chelsea,,Alabama,South,117,01,3
Columbiana,,Alabama,South,117,01,3
Harpersville,,Alabama,South,117,01,3
Helena (pt.),,Alabama,South,117,01,3
Hoover (pt.),,Alabama,South,117,01,3
Indian Springs Village,,Alabama,South,117,01,3
Leeds (pt.),,Alabama,South,117,01,3
Montevallo,,Alabama,South,117,01,3
Pelham,,Alabama,South,117,01,3
Vestavia Hills (pt.),,Alabama,South,117,01,3
Vincent (pt.),,Alabama,South,117,01,3
Westover,,Alabama,South,117,01,3
Wilsonville,,Alabama,South,117,01,3
Wilton,,Alabama,South,117,01,3
,Shelby County,Alabama,South,117,01,3
Cuba,,Alabama,South,119,01,3
Emelle,,Alabama,South,119,01,3
Epes,,Alabama,South,119,01,3
Gainesville,,Alabama,South,119,01,3
Geiger,,Alabama,South,119,01,3
Livingston,,Alabama,South,119,01,3
York,,Alabama,South,119,01,3
,Sumter County,Alabama,South,119,01,3
Bon Air,,Alabama,South,121,01,3
Childersburg,,Alabama,South,121,01,3
Lincoln,,Alabama,South,121,01,3
Munford,,Alabama,South,121,01,3
Oak Grove,,Alabama,South,121,01,3
Oxford (pt.),,Alabama,South,121,01,3
Sylacauga,,Alabama,South,121,01,3
Talladega,,Alabama,South,121,01,3
Talladega Springs,,Alabama,South,121,01,3
Vincent (pt.),,Alabama,South,121,01,3
Waldo,,Alabama,South,121,01,3
,Talladega County,Alabama,South,121,01,3
Alexander City,,Alabama,South,123,01,3
Camp Hill,,Alabama,South,123,01,3
Dadeville,,Alabama,South,123,01,3
Daviston,,Alabama,South,123,01,3
Goldville,,Alabama,South,123,01,3
Jacksons' Gap,,Alabama,South,123,01,3
New Site,,Alabama,South,123,01,3
Tallassee (pt.),,Alabama,South,123,01,3
Waverly (pt.),,Alabama,South,123,01,3
,Tallapoosa County,Alabama,South,123,01,3
Brookwood,,Alabama,South,125,01,3
Coaling,,Alabama,South,125,01,3
Coker,,Alabama,South,125,01,3
Lake View (pt.),,Alabama,South,125,01,3
Moundville (pt.),,Alabama,South,125,01,3
Northport,,Alabama,South,125,01,3
Tuscaloosa,,Alabama,South,125,01,3
Vance (pt.),,Alabama,South,125,01,3
Woodstock (pt.),,Alabama,South,125,01,3
,Tuscaloosa County,Alabama,South,125,01,3
Carbon Hill,,Alabama,South,127,01,3
Cordova,,Alabama,South,127,01,3
Dora,,Alabama,South,127,01,3
Eldridge,,Alabama,South,127,01,3
Jasper,,Alabama,South,127,01,3
Kansas,,Alabama,South,127,01,3
Nauvoo (pt.),,Alabama,South,127,01,3
Oakman,,Alabama,South,127,01,3
Parrish,,Alabama,South,127,01,3
Sipsey,,Alabama,South,127,01,3
Sumiton (pt.),,Alabama,South,127,01,3
,Walker County,Alabama,South,127,01,3
Chatom,,Alabama,South,129,01,3
McIntosh,,Alabama,South,129,01,3
Millry,,Alabama,South,129,01,3
,Washington County,Alabama,South,129,01,3
Camden,,Alabama,South,131,01,3
Oak Hill,,Alabama,South,131,01,3
Pine Apple,,Alabama,South,131,01,3
Pine Hill,,Alabama,South,131,01,3
Yellow Bluff,,Alabama,South,131,01,3
,Wilcox County,Alabama,South,131,01,3
Addison,,Alabama,South,133,01,3
Arley,,Alabama,South,133,01,3
Double Springs,,Alabama,South,133,01,3
Haleyville (pt.),,Alabama,South,133,01,3
Lynn,,Alabama,South,133,01,3
Natural Bridge,,Alabama,South,133,01,3
Nauvoo (pt.),,Alabama,South,133,01,3
,Winston County,Alabama,South,133,01,3
,,Alaska,West,000,02,4
Akutan,,Alaska,West,013,02,4
Cold Bay,,Alaska,West,013,02,4
False Pass,,Alaska,West,013,02,4
King Cove,,Alaska,West,013,02,4
Sand Point,,Alaska,West,013,02,4
,Aleutians East Borough,Alaska,West,013,02,4
Adak,,Alaska,West,016,02,4
Atka,,Alaska,West,016,02,4
St. George,,Alaska,West,016,02,4
St. Paul,,Alaska,West,016,02,4
Unalaska,,Alaska,West,016,02,4
,Aleutians West Census Area,Alaska,West,016,02,4
Anchorage municipality,,Alaska,West,020,02,4
,Anchorage Municipality,Alaska,West,020,02,4
Akiak,,Alaska,West,050,02,4
Aniak,,Alaska,West,050,02,4
Bethel,,Alaska,West,050,02,4
Chefornak,,Alaska,West,050,02,4
Chuathbaluk,,Alaska,West,050,02,4
Eek,,Alaska,West,050,02,4
Goodnews Bay,,Alaska,West,050,02,4
Kwethluk,,Alaska,West,050,02,4
Lower Kalskag,,Alaska,West,050,02,4
Mekoryuk,,Alaska,West,050,02,4
Napakiak,,Alaska,West,050,02,4
Napaskiak,,Alaska,West,050,02,4
Nightmute,,Alaska,West,050,02,4
Nunapitchuk,,Alaska,West,050,02,4
Platinum,,Alaska,West,050,02,4
Quinhagak,,Alaska,West,050,02,4
Toksook Bay,,Alaska,West,050,02,4
Upper Kalskag,,Alaska,West,050,02,4
,Bethel Census Area,Alaska,West,050,02,4
,Bristol Bay Borough,Alaska,West,060,02,4
Cordova,,Alaska,West,063,02,4
Valdez,,Alaska,West,063,02,4
Whittier,,Alaska,West,063,02,4
,Chugach Census Area,Alaska,West,063,02,4
,Copper River Census Area,Alaska,West,066,02,4
Anderson,,Alaska,West,068,02,4
,Denali Borough,Alaska,West,068,02,4
Aleknagik,,Alaska,West,070,02,4
Clark's Point,,Alaska,West,070,02,4
Dillingham,,Alaska,West,070,02,4
Ekwok,,Alaska,West,070,02,4
Manokotak,,Alaska,West,070,02,4
New Stuyahok,,Alaska,West,070,02,4
Togiak,,Alaska,West,070,02,4
,Dillingham Census Area,Alaska,West,070,02,4
Fairbanks,,Alaska,West,090,02,4
North Pole,,Alaska,West,090,02,4
,Fairbanks North Star Borough,Alaska,West,090,02,4
,Haines Borough,Alaska,West,100,02,4
Angoon,,Alaska,West,105,02,4
Gustavus,,Alaska,West,105,02,4
Hoonah,,Alaska,West,105,02,4
Pelican,,Alaska,West,105,02,4
Tenakee Springs,,Alaska,West,105,02,4
,Hoonah-Angoon Census Area,Alaska,West,105,02,4
Juneau and borough,,Alaska,West,110,02,4
,Juneau City and Borough,Alaska,West,110,02,4
Homer,,Alaska,West,122,02,4
Kachemak,,Alaska,West,122,02,4
Kenai,,Alaska,West,122,02,4
Seldovia,,Alaska,West,122,02,4
Seward,,Alaska,West,122,02,4
Soldotna,,Alaska,West,122,02,4
,Kenai Peninsula Borough,Alaska,West,122,02,4
Ketchikan,,Alaska,West,130,02,4
Saxman,,Alaska,West,130,02,4
,Ketchikan Gateway Borough,Alaska,West,130,02,4
Akhiok,,Alaska,West,150,02,4
Kodiak,,Alaska,West,150,02,4
Larsen Bay,,Alaska,West,150,02,4
Old Harbor,,Alaska,West,150,02,4
Ouzinkie,,Alaska,West,150,02,4
Port Lions,,Alaska,West,150,02,4
,Kodiak Island Borough,Alaska,West,150,02,4
Alakanuk,,Alaska,West,158,02,4
Chevak,,Alaska,West,158,02,4
Emmonak,,Alaska,West,158,02,4
Hooper Bay,,Alaska,West,158,02,4
Kotlik,,Alaska,West,158,02,4
Marshall,,Alaska,West,158,02,4
Mountain Village,,Alaska,West,158,02,4
Nunam Iqua,,Alaska,West,158,02,4
Pilot Station,,Alaska,West,158,02,4
Russian Mission,,Alaska,West,158,02,4
Scammon Bay,,Alaska,West,158,02,4
St. Mary's,,Alaska,West,158,02,4
,Kusilvak Census Area,Alaska,West,158,02,4
Chignik,,Alaska,West,164,02,4
Egegik,,Alaska,West,164,02,4
Newhalen,,Alaska,West,164,02,4
Nondalton,,Alaska,West,164,02,4
Pilot Point,,Alaska,West,164,02,4
Port Heiden,,Alaska,West,164,02,4
,Lake and Peninsula Borough,Alaska,West,164,02,4
Houston,,Alaska,West,170,02,4
Palmer,,Alaska,West,170,02,4
